YEAR,NAME,SAEMHI_LB90,SAEMHI_PT,SAEMHI_UB90,SAEPOVRT0_17_PT,SAEPOVALL_PT,SAEPOVRTALL_PT,YEAR,state,county
2013,Woodruff County,26236,29159,32082,41.3,1944,28.0,2013,05,147
2013,Yell County,31537,34679,37821,31.3,4245,19.7,2013,05,149
2013,Alameda County,70566,72128,73690,15.4,201303,13.0,2013,06,001
2013,Alpine County,44466,49392,54318,31.9,227,19.7,2013,06,003
2013,Amador County,47826,52357,56888,22.1,4746,14.3,2013,06,005
2013,Butte County,40338,42395,44452,25.0,46621,21.4,2013,06,007
2013,Calaveras County,48423,52598,56773,21.8,6617,15.0,2013,06,009
2013,Colusa County,44917,48897,52877,20.0,2749,13.0,2013,06,011
2013,Contra Costa County,76035,78909,81783,13.4,116977,10.8,2013,06,013
2013,Del Norte County,35002,38663,42324,32.6,5794,23.7,2013,06,015
2013,El Dorado County,59034,63002,66970,13.8,20575,11.4,2013,06,017
2013,Fresno County,42488,43741,44994,42.0,268773,28.6,2013,06,019
2013,Glenn County,38013,42129,46245,28.5,5253,19.1,2013,06,021
2013,Humboldt County,37962,40882,43802,25.6,28159,21.5,2013,06,023
2013,Imperial County,37354,40106,42858,30.9,38067,22.7,2013,06,025
2013,Inyo County,41900,45784,49668,23.1,2839,15.7,2013,06,027
2013,Kern County,44658,46688,48718,30.5,189029,22.7,2013,06,029
2013,Kings County,43242,45794,48346,28.0,28877,21.8,2013,06,031
2013,Lake County,33398,36973,40548,33.7,14680,23.3,2013,06,033
2013,Lassen County,46348,50487,54626,19.9,4512,19.1,2013,06,035
2013,Los Angeles County,53872,54443,55014,27.4,1872964,19.0,2013,06,037
2013,Madera County,38364,41223,44082,32.2,33974,23.4,2013,06,039
2013,Marin County,89659,94347,99035,10.3,21784,8.7,2013,06,041
2013,Mariposa County,41189,45251,49313,25.5,2875,16.4,2013,06,043
2013,Mendocino County,38861,42001,45141,28.9,17947,20.9,2013,06,045
2013,Merced County,39110,41003,42896,34.1,63843,24.8,2013,06,047
2013,Modoc County,33408,37055,40702,33.4,1778,20.0,2013,06,049
2013,Mono County,50052,55107,60162,18.7,1636,11.8,2013,06,051
2013,Monterey County,52444,55411,58378,24.4,71922,17.5,2013,06,053
2013,Napa County,65099,68619,72139,13.7,13141,9.7,2013,06,055
2013,Nevada County,51417,55246,59075,17.8,12478,12.8,2013,06,057
2013,Orange County,72557,73827,75097,18.8,416204,13.5,2013,06,059
2013,Placer County,71033,73643,76253,9.5,30287,8.3,2013,06,061
2013,Plumas County,43534,47645,51756,24.9,2917,15.7,2013,06,063
2013,Riverside County,52768,53909,55050,24.2,392513,17.4,2013,06,065
2013,Sacramento County,51601,52980,54359,25.9,272592,18.9,2013,06,067
2013,San Benito County,62959,66780,70601,18.6,7260,12.7,2013,06,069
2013,San Bernardino County,51062,52112,53162,26.7,392242,19.2,2013,06,071
2013,San Diego County,60604,61365,62126,19.4,476184,15.3,2013,06,073
2013,San Francisco County,74905,76933,78961,14.4,113217,13.8,2013,06,075
2013,San Joaquin County,50039,51219,52399,26.4,137451,19.8,2013,06,077
2013,San Luis Obispo County,55399,57743,60087,16.1,39140,15.0,2013,06,079
2013,San Mateo County,89450,91061,92672,10.0,58932,8.0,2013,06,081
2013,Santa Barbara County,58153,60803,63453,20.9,67725,16.2,2013,06,083
2013,Santa Clara County,90443,91843,93243,12.9,191898,10.5,2013,06,085
2013,Santa Cruz County,61592,65282,68972,18.9,38447,14.9,2013,06,087
2013,Shasta County,38556,41236,43916,28.3,34746,19.7,2013,06,089
2013,Sierra County,41788,46449,51110,20.4,436,14.5,2013,06,091
2013,Siskiyou County,34232,37108,39984,28.0,8826,20.4,2013,06,093
2013,Solano County,60444,63398,66352,17.8,53441,12.9,2013,06,095
2013,Sonoma County,59502,61020,62538,16.0,60216,12.4,2013,06,097
2013,Stanislaus County,45601,47808,50015,30.5,113074,21.8,2013,06,099
